company,ticker,event,day0,event_type,source_type,included,exclusion_reason,leakage_mean,react_mean,drift_mean,react_peer,drift_peer,raw_day0_return,leakage_days,reaction_days,drift_days,drift_full
Tencent,0700.HK,Hunyuan 3.0 preview,2026-04-22,large_tech_peer,user-provided model timeline; Hunyuan 3.0 large language model preview,True,,6.42,-4.15,-1.32,-12.69,-0.43,-2.89,5.0,2.0,9.0,True
Tencent,0700.HK,Hy3 official,2026-07-06,large_tech_peer,official Tencent foundation-model release,True,,5.64,8.17,9.81,16.3,51.61,4.82,5.0,2.0,9.0,True
Meituan,3690.HK,LongCat-2.0,2026-06-30,large_tech_peer,news report; domestic-chip-trained model,True,,-5.65,4.8,17.29,14.03,14.32,1.26,5.0,2.0,9.0,True
Google,GOOGL,Gemini 3.1 Pro,2026-02-19,large_tech_peer,public model release timeline; Gemini 3.1 Pro,True,,-4.55,3.97,-3.96,-38.71,24.03,-0.16,5.0,2.0,9.0,True
Google,GOOGL,Gemini 3.5/Omni,2026-05-19,large_tech_peer,Google I/O 2026 launch; Gemini 3.5 Flash and Gemini Omni,True,,-2.72,-3.98,-16.72,4.68,-45.02,-2.34,5.0,2.0,9.0,True
Google,GOOGL,Gemini 3.6 Flash,2026-07-21,large_tech_peer,official Google model launch; released with Gemini 3.5 Flash-Lite,True,,1.39,-2.3,12.95,-36.11,20.58,-1.38,5.0,2.0,9.0,True
Google,GOOGL,Gemini 3.7 Flash,2026-08-13,large_tech_peer,official Google model launch; coding and agent workhorse,True,,-4.79,0.88,-0.65,-4.77,4.36,0.82,5.0,2.0,9.0,True
Meta,META,Muse Spark,2026-04-08,large_tech_peer,Meta Superintelligence Labs model release,True,,13.24,11.53,18.17,-9.41,0.41,6.5,5.0,2.0,9.0,True
Meta,META,Muse Spark 1.1,2026-07-09,large_tech_peer,official Meta multimodal reasoning model release,True,,8.57,11.14,-7.61,18.63,10.49,4.7,5.0,2.0,9.0,True
Zhipu,02513.HK,HSTECH expectation,2026-02-20,flow,index/flow catalyst,True,,57.56,16.11,-20.8,18.79,-2.0,42.72,5.0,2.0,9.0,True
Zhipu,02513.HK,Stock Connect expectation,2026-05-13,flow,index/flow catalyst,True,,-8.2,31.81,45.4,9.31,43.85,36.9,5.0,2.0,9.0,True
Zhipu,02513.HK,HSTECH inclusion,2026-06-05,flow,index/flow catalyst,True,,-34.46,-16.68,30.95,17.06,47.28,-9.05,5.0,2.0,9.0,True
Zhipu,02513.HK,Stock Connect inclusion,2026-06-08,flow,index/flow catalyst,True,,-39.94,-20.32,38.4,4.48,58.75,1.31,5.0,2.0,9.0,True
Zhipu,02513.HK,HKEX Tech 100 insight,2026-06-29,flow,index/flow ecosystem article,True,,-11.6,-1.69,-42.62,5.46,32.59,-4.15,5.0,2.0,9.0,True
